,information,match,bet,outcome,course,date,status
0,,"['Sepsi', 'Rapid B.']",Liczba goli,poniżej 3.5,1.2,2022-08-27T18:45:00.000Z,active
0,,"['Slavia Praga', 'Raków']",Liczba goli,powyżej 1.5,1.33,2022-08-25T17:00:00.000Z,active
0,,"['Sheriff Tiraspol', 'Pyunik Yerevan']",Liczba goli,poniżej 3.5,1.28,2022-08-25T17:00:00.000Z,active
0,,"['Excelsior', 'PSV Eindhoven']",Liczba goli,powyżej 2.5,1.33,2022-08-28T12:30:00.000Z,active
0,,"['Napoli', 'Lecce']",Mecz,1,1.33,2022-08-31T18:45:00.000Z,active
0,,"['Union Espanola', 'Audax Italiano']",Liczba goli,powyżej 1.5,1.33,2022-08-29T00:00:00.000Z,active
0,,"['Breidablik', 'Leiknir R.']",Mecz,1,1.25,2022-08-28T19:15:00.000Z,active
0,,"['CA Boca Juniors', 'Atl. Tucuman']",Liczba goli,poniżej 3.5,1.22,2022-08-28T21:00:00.000Z,active
0,,"['Botafogo RJ', 'Flamengo RJ']",Liczba goli,poniżej 3.5,1.35,2022-08-28T21:00:00.000Z,active
0,2141-7E25A0,,,,,,
1,1000,,,,,,
2,[10],,,,,,
3,16,,,,,,
4,410783.66,,,,,,
5,94795.07,,,,,,
6,bets:,,,,,,
0,,"['Walsall', 'Charlton Atl.']",Liczba goli,poniżej 2.5,1.9,2022-08-23T18:00:00.000Z,win
0,,"['Dornbirn', 'First Vienna']",Mecz,2,1.85,2022-08-27T12:30:00.000Z,active
0,,"['Volendam', 'Twente']",Mecz,2,1.85,2022-08-28T12:30:00.000Z,active
0,,"['Verl', 'Zwickau']",Liczba goli,powyżej 2.5,1.85,2022-08-27T12:00:00.000Z,active
0,,"['Skra Cz.', 'Sandecja']",Liczba goli,poniżej 2.5,1.7,2022-08-28T13:00:00.000Z,active
0,,"['Silkeborg', 'HJK Helsinki']",Liczba goli,powyżej 2.5,1.9,2022-08-25T16:30:00.000Z,active
0,,"['Hamrun Spartans', 'Partizan']",Liczba goli,powyżej 2.5,1.85,2022-08-25T18:00:00.000Z,active
0,,"['Gijon', 'Burgos']",Liczba goli,poniżej 2.5,1.65,2022-08-27T15:30:00.000Z,active
0,,"['Lincoln City', 'Fleetwood Town']",Liczba goli,poniżej 2.5,1.9,2022-08-27T14:00:00.000Z,active
0,,"['Dinamo Zagreb', 'Bodo/Glimt']",Mecz,1,1.9,2022-08-24T19:00:00.000Z,win
0,,"['Valenciennes', ' St. Etienne']",Liczba goli,poniżej 2.5,1.65,2022-08-27T17:00:00.000Z,active
0,,"['Grazer AK', 'SV Lafnitz']",Liczba goli,powyżej 2.5,1.75,2022-08-27T12:30:00.000Z,active
0,,"['Port Vale', 'Portsmouth']",Liczba goli,poniżej 2.5,1.9,2022-08-27T14:00:00.000Z,active
0,,"['Colchester Utd', 'Brentford']",Liczba goli,powyżej 2.5,1.67,2022-08-23T18:45:00.000Z,lost
0,,"['PSV Eindhoven', 'Rangers']",Mecz,1,1.8,2022-08-24T19:00:00.000Z,lost
0,,"['CFR Cluj', 'Maribor']",Mecz,1,1.72,2022-08-25T17:00:00.000Z,active
0,2141-7E25AF,,,,,,
1,1000,,,,,,
2,[12],,,,,,
3,16,,,,,,
4,88957.95,,,,,,
5,25416.94,,,,,,
6,bets:,,,,,,
0,,"['Basel', 'CSKA Sofia']",Mecz,1,1.55,2022-08-25T17:00:00.000Z,active
0,,"['Osters IF', 'Ostersunds FK']",Liczba goli,poniżej 3.5,1.4,2022-08-27T13:00:00.000Z,active
0,,"['Gremio FBPA RS', 'Ituano SP']",Mecz,1,1.47,2022-08-26T22:00:00.000Z,active
0,,"['Ingolstadt', 'Wehen Wiesbaden']",Liczba goli,poniżej 3.5,1.4,2022-08-27T12:00:00.000Z,active
0,,"['Olymp. Nicosia', 'Anorthosis F.']",1.połowa - liczba goli,poniżej 1.5,1.36,2022-08-27T16:00:00.000Z,active
0,,"['Bilbao', 'Espanyol']",Mecz,1,1.53,2022-09-04T14:15:00.000Z,active
0,,"['Port Vale', 'Portsmouth']",Liczba goli,poniżej 3.5,1.36,2022-08-27T14:00:00.000Z,active
0,,"['NEC Nijmegen', 'Groningen']",Liczba goli,poniżej 3.5,1.47,2022-08-26T18:00:00.000Z,active
0,,"['Głogów', 'W.Kraków']",1.połowa - liczba goli,poniżej 1.5,1.36,2022-08-26T18:30:00.000Z,active
0,,"['Derby', 'Peterborough']",Liczba goli,poniżej 3.5,1.4,2022-08-27T14:00:00.000Z,active
0,,"['Mito Hollyhock', 'Ryukyu']",Liczba goli,poniżej 3.5,1.4,2022-08-27T09:00:00.000Z,active
0,,"['Boavista', 'Benfica']",Mecz,2,1.5,2022-08-27T17:00:00.000Z,active
0,,"['Stockport', 'Leicester']",Mecz,2,1.4,2022-08-23T18:45:00.000Z,lost
0,,"['Nice', 'Macc. Tel Aviv']",Mecz,1,1.47,2022-08-25T18:00:00.000Z,active
0,,"['Liverpool', 'Bournemouth']",Liczba goli,powyżej 2.5,1.4,2022-08-27T14:00:00.000Z,active
0,,"['Go Ahead Eagles', 'Sparta R.']",Liczba goli,poniżej 3.5,1.4,2022-08-27T14:30:00.000Z,active
0,2141-7E25AG,,,,,,
1,1000,,,,,,
2,[11],,,,,,
3,16,,,,,,
4,355145.08,,,,,,
5,92074.21,,,,,,
6,bets:,,,,,,
0,,"['F. Dusseldorf', 'Jahn Regensburg']",Mecz,1,1.7,2022-08-26T16:30:00.000Z,active
0,,"['Servette', 'Grasshopper']",Mecz,1,1.9,2022-08-27T18:30:00.000Z,active
0,,"['Sochaux', 'Chamois Niort']",Mecz,1,1.75,2022-08-27T17:00:00.000Z,active
0,,"['Lokomotiva Z.', 'Slaven Belupo']",Mecz,1,1.9,2022-08-27T16:55:00.000Z,active
0,,"['Aberdeen', 'Livingston']",Mecz,1,1.85,2022-08-27T14:00:00.000Z,active
0,,"['Atlanta Utd', 'D.C. United']",Mecz,1,1.72,2022-08-28T20:00:00.000Z,active
0,,"['Sheffield Wed.', 'Forest Green R.']",Mecz,1,1.65,2022-08-27T14:00:00.000Z,active
0,,"['Southampton', 'Chelsea']",Mecz,2,1.62,2022-08-30T18:45:00.000Z,active
0,,"['Strasbourg', 'Nantes']",Mecz,1,1.85,2022-08-31T17:00:00.000Z,active
0,,"['Olimpija L.', 'Radomlje']",Mecz,1,1.8,2022-08-27T15:30:00.000Z,active
0,,"['Juventus', 'Spezia']",Mecz,1,1.3,2022-08-31T18:45:00.000Z,active
0,,"['Slovan B.', 'Zrinjski Mostar']",Mecz,1,1.62,2022-08-25T18:30:00.000Z,active
0,,"['Nagoya Grampus', 'Gamba Osaka']",Mecz,1,1.67,2022-08-27T09:00:00.000Z,active
0,,"['Arsenal', 'Aston Villa']",Mecz,1,1.42,2022-08-31T18:30:00.000Z,active
0,,"['HJK Helsinki', 'Seinajoen JK']",Mecz,1,1.53,2022-08-28T15:30:00.000Z,active
0,,"['Pogoń Sz.', 'Lubin']",Mecz,1,1.67,2022-08-27T15:30:00.000Z,active
0,2141-7E25AX,,,,,,
1,900,,,,,,
2,[11],,,,,,
3,16,,,,,,
4,332739.33,,,,,,
5,86265.63,,,,,,
6,bets:,,,,,,
0,,"['Kongsvinger', 'Stabaek']",Liczba goli,powyżej 2.5,1.7,2022-08-27T13:00:00.000Z,active
0,,"['Leeds', 'Everton']",Liczba goli,powyżej 2.5,1.9,2022-08-30T19:00:00.000Z,active
0,,"['Inter Turku', 'KuPS']",Liczba goli,poniżej 2.5,1.8,2022-08-27T14:00:00.000Z,active
0,,"['Dallas', 'Real Salt Lake']",Liczba goli,powyżej 2.5,1.85,2022-08-28T01:00:00.000Z,active
0,,"['Barrow', 'Lincoln City']",Liczba goli,poniżej 2.5,1.85,2022-08-23T18:45:00.000Z,lost
0,,"['Jerv', 'Bodo/Glimt']",Liczba goli,powyżej 3.5,1.9,2022-08-27T16:00:00.000Z,active
0,,"['Sandefjord', 'Stromsgodset']",Liczba goli,powyżej 2.5,1.6,2022-08-27T16:00:00.000Z,active
0,,"['Gimnasia LP', 'Aldosivi']",Liczba goli,poniżej 2.5,1.75,2022-08-24T00:30:00.000Z,win
0,,"['Osasuna', 'Rayo Vallecano']",Liczba goli,poniżej 2.5,1.65,2022-09-04T12:00:00.000Z,active
0,,"['Aue', 'Dyn.Drezno']",Liczba goli,poniżej 3.5,1.4,2022-08-28T12:00:00.000Z,active
0,,"['Vitesse', 'RKC Waalwijk']",Liczba goli,poniżej 3.5,1.5,2022-08-27T16:45:00.000Z,active
0,,"['Ventforet Kofu', 'Zwiegen Kanaz.']",Liczba goli,poniżej 3.5,1.35,2022-08-27T09:00:00.000Z,active
0,,"['Corinthians SP', 'Bragantino SP']",Liczba goli,poniżej 2.5,1.65,2022-08-27T23:30:00.000Z,active
0,,"['BW Linz', 'Rapid Wiedeń II']",Liczba goli,powyżej 2.5,1.65,2022-08-28T08:30:00.000Z,active
0,,"['Ilves', 'Haka Valkeakoski']",Liczba goli,powyżej 2.5,1.85,2022-08-27T12:00:00.000Z,active
0,,"['Tabor Sezana', 'Bravo']",Liczba goli,poniżej 2.5,1.65,2022-08-26T15:30:00.000Z,active
0,2141-7E25C7,,,,,,
1,900,,,,,,
2,[13],,,,,,
3,16,,,,,,
4,31284.73,,,,,,
5,9709.41,,,,,,
6,bets:,,,,,,
0,,"['Ballkani', 'Shkupi Skopje']",Liczba goli,powyżej 1.5,1.35,2022-08-25T18:00:00.000Z,active
0,,"['Tabor Sezana', 'Bravo']",Liczba goli,poniżej 3.5,1.25,2022-08-26T15:30:00.000Z,active
0,,"['Leeds', 'Barnsley']",Mecz,1,1.3,2022-08-24T18:45:00.000Z,win
0,,"['Telstar', 'Helmond']",Liczba goli,poniżej 4.5,1.22,2022-08-26T18:00:00.000Z,active
0,,"['Pacos Ferreira', 'Estoril Praia']",Liczba goli,poniżej 3.5,1.28,2022-08-26T19:15:00.000Z,active
0,,"['Twente', 'Fiorentina']",Liczba goli,powyżej 1.5,1.33,2022-08-25T17:00:00.000Z,active
0,,"['Antwerp', 'Basaksehir']",Liczba goli,poniżej 3.5,1.33,2022-08-25T18:45:00.000Z,active
0,,"['G.B. Queretaro', 'Club America']",Liczba goli,powyżej 1.5,1.33,2022-08-24T02:05:00.000Z,lost
0,,"['Tranmere Rovers', 'Newcastle']",Mecz,2,1.28,2022-08-24T18:45:00.000Z,win
0,,"['Fehervar', 'Koln']",Liczba goli,powyżej 1.5,1.25,2022-08-25T17:00:00.000Z,active
0,,"['Olympiacos', 'Apollon Limassol']",Liczba goli,poniżej 3.5,1.33,2022-08-25T19:00:00.000Z,active
0,,"['CA Platense', 'Talleres Cordoba']",Liczba goli,poniżej 3.5,1.2,2022-08-23T00:30:00.000Z,win
0,,"['De Graafschap', 'Dordrecht']",Mecz,1,1.3,2022-08-26T18:00:00.000Z,active
0,,"['Anderlecht', 'Young Boys']",Liczba goli,powyżej 1.5,1.33,2022-08-25T18:00:00.000Z,active
0,,"['Wycombe W.', 'Bristol City']",Liczba goli,powyżej 1.5,1.28,2022-08-24T18:45:00.000Z,win
0,,"['Silkeborg', 'HJK Helsinki']",Liczba goli,powyżej 1.5,1.28,2022-08-25T16:30:00.000Z,active
0,2141-7E25CE,,,,,,
1,1000,,,,,,
2,[12],,,,,,
3,16,,,,,,
4,96104.99,,,,,,
5,27458.32,,,,,,
6,bets:,,,,,,
0,,"['AIK', 'Slovacko']",1.połowa - liczba goli,poniżej 1.5,1.42,2022-08-25T17:00:00.000Z,active
0,,"['Metz', 'Dijon']",Liczba goli,powyżej 1.5,1.4,2022-08-27T13:00:00.000Z,active
0,,"['Cracovia', 'Warta']",1.połowa - liczba goli,poniżej 1.5,1.36,2022-08-28T10:30:00.000Z,active
0,,"['Cambridge Utd', 'Southampton']",Mecz,2,1.4,2022-08-23T18:45:00.000Z,win
0,,"['Lazio', 'Inter M.']",Liczba goli,poniżej 3.5,1.6,2022-08-26T18:45:00.000Z,active
0,,"['Oxford United', 'Crystal Palace']",Liczba goli,poniżej 3.5,1.4,2022-08-23T18:45:00.000Z,win
0,,"['Bolton W.', 'Aston Villa']",Liczba goli,poniżej 3.5,1.47,2022-08-23T18:45:00.000Z,lost
0,,"['Grimsby Town', 'Nott. Forest']",Mecz,2,1.4,2022-08-23T18:45:00.000Z,win
